id,name,short_name,city_name,lat,long,url
69,Vimoutiers Badminton Club,VBC,Vimoutiers,48.9297086,0.1970867,
70,Vivarais Badminton,VB07,Vals-les-Bains,44.6553304,4.365739,
71,Volant Bisontin,VB,Besançon,47.237953,6.0243246,
72,Vitrolles Badminton,VB,Vitrolles,43.4593696,5.2482643,
73,Volant Basseen,VB,La Bassée,50.5316305,2.8046597,
74,Verneuil Badminton,VB,Verneuil-sur-Vienne,45.8493193,1.1273495,
75,Versailles Badminton,VB,Versailles,48.8035403,2.1266886,
76,Le Volant Arnouville Gonesse,VAG,Arnouville,48.9892126,2.4202824,
77,Vallée de l'Avre Badminton Club,VABC,Saint-Rémy-sur-Avre,48.7628087,1.2405119,
78,Vitry Badminton Club,VABC,Vitry-en-Artois,50.3260011,2.981135,
79,Val D'ambene Badminton,VAB,Volvic,45.872542,3.0375701,
80,Volant des 7 Rivières,V7R,Bédarrides,44.0407425,4.8982969,
81,V3F - Volant des 3 Frontières,V3F,"Attenschwiller, Hésingue, Villag",,,
82,Volants 3000,V3000,CHAVAGNES,47.277503,-0.434656219284157,
83,Volants Velizy-villacoublay,V3,Vélizy-Villacoublay,48.7809496,2.1900052,
84,Le Volant des 2 Caps,V2C,Marquise,50.8125819,1.699554,
85,U. Sportive Vaires Entretien Compétition Badminton,USVECBAD,Vaires-sur-Marne,48.8732841,2.6398292,
86,Union Sport. Villaines La Juhel,USVBAD,Villaines-la-Juhel,48.3451696,-0.2780934,
87,Vitreenne Badminton,USVB,Vitré,48.1240564,-1.2085133,
88,Union Sport. Ville D'avray,USVA,Ville-d'Avray,48.820717,2.1744615,
89,Union Sportive Villejuif,USV,Villejuif,48.7921098,2.3633048,
90,Union Sportive Vernoise Badminton,USV,Vern-sur-Seiche,48.0452053,-1.6045972,
91,Union Sportive Verton,USV,Verton,50.4015533,1.6507982,
92,Us Tinteniac-saint Domineuc,USTSD,Tinténiac,48.3293178,-1.8352875,
93,Union Sportive Tournebride Hayange,USTH,Hayange,49.3304353,6.0636733,
94,U. S. Tyrosse Badminton,USTBAD,Saint-Vincent-de-Tyrosse,43.6604837,-1.3029669,
95,Union Sportive Talence Badminton,UST,Talence,44.8088438,-0.5879629,
96,Union Sportive Tropezienne Bad,UST,Saint-Tropez,43.2727191,6.6405225,
97,Union Sportive Saint Jacques,USSJ,Saint-Jacques-sur-Darnétal,49.4409254,1.2055387,
98,Union Saint Genestoise de Badminton,USSGBAD73,Saint-Genix-sur-Guiers,45.5990887,5.6329032,
99,Union Sportve de Saint GILLES - Les Accrobads,USSGBAD,Saint-Gilles,50.8267409,4.345668,
100,Union Sportive St Ciers,USSC.BAD,Saint-Ciers-sur-Gironde,45.2934579,-0.6158131,
101,Union Sportive Saint Arnoult,USSA,Saint-Arnoult-en-Yvelines,48.572604,1.9350788,
102,Ussa14 Badminton St Andre,USSA,Saint-André-sur-Orne,49.1191667,-0.3819444,
103,U.S. Ramonville Badminton,USRB,Ramonville-Saint-Agne,43.5460533,1.4749101,
104,Union Sportive Le Poinçonnet,USPBA,Le Poinçonnet,46.7641725,1.7178194,
105,Union Sportive De Palaiseau,USP,Palaiseau,48.7144587,2.2453842,
106,Union Sportive Du Pre En Pail,USP,Pré-en-Pail,48.44127535,-0.178683987884807,
107,Union Sportive Petruvienne,USP,Saint-Pierre-sur-Dives,49.0143035,-0.0354544494877651,
108,Union Sport. Pecq,USP,Le Pecq,48.8976716,2.1026594,
109,USOPOC BADMINTON,USOPOC,FLEURY LES AUBRAIS/ORLEANS,47.9309156,1.9208883,
110,U. Sportive De L'ouest Lyonnais,USOLB69,Vaugneray,45.7376252,4.6578983,
111,Union Sportive Oyonnax Badminton,USO01,Oyonnax,46.2476592,5.67335934717195,
112,Union Sportive Nord Gironde,USNG,Saint-Yzan-de-Soudiac,45.1399863,-0.4107248,
113,Union Sport. Mun. Villeparisis,USMV,Villeparisis,48.939344,2.6176193,
114,U S M Vire Badminton,USMV,Vire,48.8517468,-0.887259445831838,
115,Union Sportive Mpale De Saran,USMS,Saran,47.9494039,1.8764209,
116,Union Sportive Municipale de Montargis,USMM,Montargis,47.9990047,2.7364119,
117,Union Sport. Munic. Malakoff,USMM,Malakoff,48.8174048,2.2971588,
118,Union Sportive Municipale de Chanteau Badminton,USMCBAD,Chanteau,47.9662498,1.9727944,
119,Union Sportive Municipale des Clayes sous Bois,USMC,Les Clayes-sous-Bois,48.8214478,1.9871825,
120,U. S. Monsoult-baillet-maffliers,USMBM,Montsoult,49.0704484,2.312001,
121,Union Sportive Mortagnaise Badminton,USMBAD,Mortagne-au-Perche,48.5205106,0.5501095,
122,Union Sportive Montanay Bad.,USMB69,Montanay,45.8781153,4.8602097,
123,Union Sportive Maubeugeoise Badminton,USMB,Maubeuge,50.2785567,3.9743784,
124,USMA Badminton,USMA.BAD,Saint-Ouen,48.911729,2.334267,
125,Us Mordelles Badminton,USM,Mordelles,48.0733304,-1.8485204,
126,St Leu D'esserent Bad Club,USLBC,Saint-Leu-d'Esserent,49.2174377,2.4215332,
127,Union Sportive Lignanaise Bad.,USLBAD,Lignan-de-Bordeaux,44.7969124,-0.4281603,
128,Us Liffreenne Badminton,USLB,Liffré,48.2145992,-1.5059748,
129,Union Spor. Leguevinoise Bad.,USLB,Léguevin,43.5991512,1.2344124,
130,Union Sportive De Lillebonne,USL,Lillebonne,49.5188282,0.534411,
131,Union Sportive De Laille,USL,Laillé,47.9784056,-1.7199066,
132,U.s De La Jeunesse Mitry,USJMBAD,Mitry-Mory,48.9839674,2.6183971,
133,Union Sportive Du Jarnisy,USJ,Jarny,49.1569586,5.8821708,
134,Union Sportive Jovinienne,USJ,Joigny,47.9825085,3.3991365,
135,Union Sportive Ingré,USIBAD,Ingré,47.9193001,1.8224763,
136,Union Sportive D'Ivry,USI,Ivry-sur-Seine,48.8122302,2.3872525,
137,U.S. Issoire Badminton,USI,Issoire,45.5432973,3.2502213,
138,Union Sportive Hondschootoise Badminton,USHB,Hondschoote,50.9808564,2.5862639,
139,Les Fous Du Volant Guipry-Messac-Pipriac,USGM,Guipry-Messac-Pipriac,,,
140,Union Sportive de Badminton de Guignen,USGBAD35,Guignen,47.9205654,-1.8613166,
141,Union Sportive Gravelinoise,USG,Gravelines,50.9870697,2.1273118,
142,Union Sportive Fontenaysienne - Badminton,USFBAD,Fontenay-sous-Bois,48.8490721,2.4749347,
143,Union Sportive Fismoise - Badminton,USFB,Fismes,49.3072449,3.6802774,
144,Les Fer'volants,USFB,La Ferrière,46.7144377,-1.31634249341433,
145,Union des Sports Fléchois - Badminton,USF,La Flèche,47.6968408,-0.0746149,
146,Union Sport. Ezanville-ecouen,USEE,Ézanville-Ecouen,49.0229548,2.3626417,
147,Union Sportive d'Etrépagny,USEBAD,Étrépagny,49.3065762,1.6110749,
148,Union Sportive Dacquoise,USDAX,Dax,43.7080596,-1.0533076,
149,US Dunkerque,USD,Dunkerque,51.0347708,2.3772525,
150,Union Sport. et Cult. Vergeenne,USCV,Le Verger,48.0700479,-1.9320335,
151,Union Sportive des Cheminots Marseillais,USCM,Marseille,43.2961743,5.3699525,
152,U. S. des Cheminots de Mézidon - Badminton,USCM,Mézidon Vallée d'Auge,49.0824073,-0.00045385720584535,
153,Union Sportive et Culturelle de Lésigny,USCLBAD,Lésigny,48.7441196,2.6146976,
154,Union Sportive La Chapelle-Janson/Fleurigné Bad,USCF,La Chapelle-Janson,48.3475174,-1.1011605,
155,Union Sportive des Cheminots Dijonnais,USCD,Dijon,47.3215806,5.0414701,
156,Uscclm Section Badminton,USCCLMSB,Châtres-sur-Cher,47.2645938,1.9077269,
157,Union Sport. Curial Cambrai,USCC,Paris,48.8566101,2.3514992,
158,Union Sportive de Cagnes sur Mer - Badminton,USCB,Cagnes-sur-Mer,43.6612012,7.1513834,
159,U.S.CHARTRONS BADMINTON,USCB,Bordeaux,44.841225,-0.5800364,
160,Union Sportive Change Badminton,USCB,Changé,34.2156961,113.7676736,
161,Us Du Chatelet En Brie Badminton,USCB,Le Châtelet-en-Brie,48.5044282,2.792873,
162,U. S. Chambray Badminton,USCB,Chambray-lès-Tours,47.3390872,0.714368,
163,Union Sportive Clémentaise Badminton,USCB,Saint-Clément-de-la-Place,47.5249775,-0.7454567,
164,Union Sportive Chalette Badminton,USCB,Châlette-sur-Loing,48.0165,2.73636,
165,U. S. C. A. Châlonnaise,USCAC,Châlons-en-Champagne,48.9566218,4.3628851,
166,Union Sportive Creteil,USC,Créteil,48.7771486,2.4530731,
167,U. S. Carrieres/seine,USC,Carrières-sur-Seine,48.9134112,2.1779083,
168,Union Sportive De Colomiers,USC,Colomiers,43.6121001,1.3282149,
169,U. Sport. Chauvinoise Badminton,USC,Chauvigny,46.5695048,0.6439464,
170,US Chateaugiron,USC,Châteaugiron,48.0423764,-1.50091203063565,
171,USC LA CRAU BADMINTON,USC,La Crau,43.1497034,6.0737053,
172,Union Sportive Badminton Dieuze,USBD,Dieuze,48.8104847,6.7179948,
173,Union Sportive Bois le Roi Badminton,USBBAD,Bois-le-Roi,48.4754789,2.6939537,
174,Union S.beaufortaise De Bad.,USBBAD,Beaufort-en-Vallée,47.43125595,-0.21245573106942,
175,Union Sportive Bazas - Badminton,USBB,Bazas,44.4320456,-0.2126009,
176,Union Saint-Bruno,USB,Bordeaux,44.841225,-0.5800364,
177,U. S. A. Cheminots De Somain,USAC,Somain,50.36,3.27595,
178,union sportive Argentonnaise section Badminton,USABAD,Argenton-sur-Creuse,46.5886822,1.5191029,
179,Union Sportive Argentré Badminton,USABAD,Argentré,48.0835596,-0.642135,
180,Union Sportive d'Aigurande Badminton,USAB,Aigurande,46.4342921,1.8295876,
181,Us Acignolaise De Badminton,USAB,Acigné,48.1334094,-1.5338474,
182,Union Sportive d'Alfortville,USA,Alfortville,48.8051624,2.4197113,
183,UnaNîm'Bad,UNB,Nîmes,43.8374249,4.3600687,
184,Ums Pontault-combault,UMSPC,Pontault-Combault,48.78228,2.6018726,
185,Union Montilienne Sportive Badminton,UMS,Montélimar,44.5579391,4.750318,
186,Ujap Badminton Quimper,UJAPBQ,Quimper,47.9960325,-4.1024782,
187,Union Frat. et Sport. de Vaucresson Badminton,UFSVM,Vaucresson,48.8392676,2.1575981,
188,Union Cosnoise Sportive Esprit Bad,UCS,Cosne-Cours-sur-Loire,47.4115613,2.9273937,
189,Union Et Concorde Bricquebec,UCBB,Bricquebec,49.47070155,-1.64053909330511,
190,Union Badminton Club de la Baie,UBCB,Avranches/St Hilaire/Sartilly/Is,,,
191,Ussel Badminton Club,UBAC,Ussel,45.2331973,7.2177346,
192,Union du Badminton de l'Agglomération Albigeoise,UBAA,Albi,43.9277552,2.147899,
193,Uzes Badminton,UB,Uzès,44.0121685,4.4196744,
194,Union Athlétique Société Générale,UASGB,Nantes,47.2186371,-1.5541362,
195,Union Associative et Sportive Badminton,UASB,Saint-Cloud,48.8437412,2.219344,
196,Trait d'Union de Verrières le Buisson,TUVBBAD,Verrières-le-Buisson,48.7467819,2.2653844,
197,Trait Union Etoile St Germain,TUESG,Saint-Germain-en-Laye,48.8990413,2.0942792,
198,Toulouse Université Club badminton,TUCB,Toulouse,43.6044622,1.4442469,
199,Tennis Unis de Bondues,TUB,Bondues,50.7034622,3.0921638,
200,Tennis Squash Badminton Valenciennes,TSBV,Valenciennes,50.3594889,3.5266657,
201,Tennis Squash Badminton Jarville,TSB,Jarville-la-Malgrange,48.6735375,6.2023462,
202,Tagnon Sports Badminton,TSB,Tagnon,49.4391869,4.2896671,
203,Tregor Badminton,TRB,Lannion,48.7322183,-3.4587994,
204,Toulouse Olympique Aerospatiale Club,TOAC,Toulouse,43.6044622,1.4442469,
205,Toulouse Métropole Badminton Club,TMBC,Toulouse,43.6044622,1.4442469,
206,Le Till'Bad,TILLBAD,Tillières,47.1468296,-1.1683083386109,
207,TiBad,TIBAD,Baie-Mahault,16.2679458,-61.5870766,
208,Tamis Guilherandais en Vivarais Badminton,TGV07,Guilherand-Granges,44.932545,4.8708275,
209,Troyes Gymnique Badminton,TGBAD,Troyes,48.2971626,4.0746257,
210,Tennis Club Saint Martinois,TCSM,Saint-Martin-en-Haut,45.6602362,4.5594655,
211,Tamari Club Messei Badminton,TCMB,Messei,48.7123257,-0.5368364,
212,Tennis Club Fleury,TCF,Fleury,49.258735,3.1566772,
213,Tennis Club d'Annoeullin,TCA,Annoeullin,50.5279,2.92648,
214,Ton Bad à Spay Min Club,TBSMC,Spay,47.9241442,0.1510542,
215,The Bad Montils,TBM,Les Montils,47.4962439,1.2976733,
216,Tennis Badminton La Mezière,TBLM,La Mézière,48.2193772,-1.7557922,
217,Tennis Badminton Club de Foug,TBCFOUG,Foug,48.6846355,5.7866205,
218,Thonon Badminton Club,TBC74,Thonon-les-Bains,46.3731303,6.4779448,
219,Tarare Badminton Club,TBC69,Tarare,45.8942555,4.4371374,
220,Touvet Badminton Club,TBC38,Le Touvet,45.3592324,5.9515976,
221,Tregunc Badminton Club,TBC,Trégunc,47.854485,-3.8514269,
222,Treillieres Badminton Club,TBC,Treillières,47.3309103,-1.6240815,
223,Triel Badminton Club,TBC,Triel-sur-Seine,48.980925,2.0030818,
224,Thiviers Badminton Club,TBC,Thiviers,45.4183646,0.92088,
225,Talant Badminton Club,TBC,Talant,47.3359617,5.0047641,
226,Tourcoing Badminton Club,TBC,Tourcoing,50.7235038,3.1605714,
227,Torcy Badminton Club,TBAC,Torcy,48.8515,2.65265,
228,Tournus Badminton,TB,Tournus,46.5636138,4.9104079,
229,Thouarce Badminton,TB,Thouarcé,47.2592385,-0.529587671148048,
230,Théo Bad,TB,Villedieu-sur-Indre,46.8474516,1.5375901,
231,Tissu Associatif de Quincampoix,TAQUIN,Quincampoix,49.521,1.17464,
232,Ligue TAHITI,TAHI,papeete,-17.5384014,-149.5661868,
233,Tremblay Athletic Club Badminton,TACB,Tremblay-en-France,48.9802035,2.5589558,
234,Tennis Angoulins Club,TAC,Angoulins,46.1049651,-1.1093352,
235,La Souchezoise,SZ,Souchez,50.391009,2.7410877,
236,Saint-yrieix Badminton,SYB,Saint-Yrieix-sur-Charente,45.6906241,0.1149881,
237,Saint Xandre Badminton Club,SXBC,Saint-Xandre,46.2051404,-1.1019893,
238,Le Sert Volant Saint Martin d'Uriage,SVSMU38,Saint-Martin-d'Uriage,45.1507233,5.8383075,
239,Saint Vaury Badminton Club,SVBC,Saint-Vaury,46.2040561,1.7563136,
240,Saligny Vendée Badminton,SVB,Saligny,46.8054703,-1.42840453627251,
241,Soleil Volant,SV,Tosse,43.6882557,-1.3337954,
242,Sundgau Badminton,SUNBAD,Altkirch,47.6238204,7.2401542,
243,Saint Jean Badminton,STJB,Saint-Jean-des-Champs,48.8277979,-1.4647078,
244,Sânon Sports et Loisirs,SSL,Moussey,48.4307454,7.0237212,
245,Societe Sportive Cluis Badminton,SSCBA,Cluis,46.5442173,1.7502734,
246,Société Sportive de Bonnat - section Badminton,SSBAB23,Bonnat,46.327771,1.9041401,
247,Saint Sim'Bad,SSB38,Saint-Siméon-de-Bressieux,45.329026,5.264369,
248,Sablé smash'n'bad,SSB,Sablé-sur-Sarthe,47.8400712,-0.3352048,
249,SREG Mulhouse Badminton,SREG,Rixheim,47.7441969,7.3968786,
250,Sud Quercy Lafrançaise Omnisport,SQLO,Lafrançaise,44.1286111,1.2413889,
251,Saint Quentin Badminton Club,SQBC,Saint-Quentin,49.8486111,3.2863888,
252,Saint Pierre Olympique Club,SPOC,Saint-Pierre-Quiberon,47.5305,-3.13689,
253,Stade Porte Normande,SPN,Vernon,,,
254,Saint Pierre Badminton,SPB,Saint-Pierre-Église,49.6679883,-1.4046471,
255,Saint Pierre d'Albigny Badminton,SPAB73,Saint-Pierre-d'Albigny,45.569016,6.1548267,
256,AS Soustons Badminton,SOUSTONSB,Soustons,43.75079,-1.32955,
257,Stade Olympique Du Maine,SOMLEMANS,Le Mans,48.0073498,0.1967379,
258,Stade Olympique Millavois Bad.,SOMB,Millau,44.1006693,3.0777594,
259,Sens Olympique Badminton Club,SOBC,Sens,48.1978559,3.282606,
260,Stade Des Olonnes Badminton Club,SOBC,Olonne-sur-Mer,46.5358685,-1.7687019,
261,Sorbiers Badminton 42,SOBAD42,Sorbiers,44.3750798,5.5638746,
262,Saint-Orens Badminton,SOBAD,Saint-Orens-de-Gameville,43.5519847,1.5339526,
263,Sables d'Olonne Badminton 85,SOBAD,"L'Île-d'Olonne,Vairé,Les Sables",,,
264,Saint Nazaire Badminton,SNB,Saint-Nazaire,45.2566002,5.8490243,
265,Amicale Laique St Martin Le V.,SMV38,Saint-Martin-le-Vinoux,45.2088706,5.7055996,
266,Stade Marseillais Universite Club,SMUC,Marseille,43.2961743,5.3699525,
267,Saint Martin Sports,SMS,Romorantin-Lanthenay,47.358297,1.7449838,
268,SMOC Badminton,SMOCBAD,Saint-Jean-de-Braye,47.9200018,1.9737186,
269,Stade Multisports De Montrouge,SMM,Montrouge,48.8144,2.31606,
270,St Martin En Campagne Badminton,SMCB,Saint-Martin-en-Campagne,49.9568229,1.2218919,
271,Saint Mathurin Badminton Club,SMBC,Saint-Mathurin,46.5658333,-1.7133333,
272,Stade Montois,SMBAD,Mont-de-Marsan,43.8911318,-0.500972,
273,Saint Martin Badminton,SMB,Saint-Martin-du-Fouilloux,47.4316327,-0.7039366,
274,Savigné Les Volants,SLV,Savigné-l'Évêque,48.0773296,0.2962126,
275,Sports et Loisirs Saint Romain,SLSR43,Saint-Romain-Lachalm,45.2664234,4.3324135,
276,SLSN Badminton Club Condé sur Noireau,SLSNBC,Condé-sur-Noireau,48.84902185,-0.565216636395482,
277,Sport et Loisir Paris XV,SLPXV,Paris,48.8566101,2.3514992,
278,S. L. P. Chaulnes Badminton,SLPCHB,Chaulnes,49.8173862,2.8050246,
279,Sports Loisirs De L'ornel,SLO,Bettancourt-la-Ferrée,48.6528198,4.9746257,
280,La Saint Louis De Gonzague,SLG,Limoges,45.8354243,1.2644847,
281,Sports Et Loisirs Dommartinois Badminton,SLDB69,Dommartin,47.0688539,3.8450892,
282,Sports Loisirs et Détente de Betschdorf,SLDB,Betschdorf,48.8974813,7.9065678,
283,S et L Constantia Strasbourg-neud,SLCSN,Strasbourg,48.584614,7.7507127,
284,Club Sports Loisirs Cult. Arles,SLCA,Arles,43.6776223,4.6309653,
285,Stade Loupéen - Badminton,SLBAD,La Loupe,48.4737,1.02521,
286,Stade Laurentin Badminton,SLB,Saint-Laurent-du-Var,43.6690101,7.1906969,
287,Sports et Loisirs,SL,Saint-Cannat,43.6207231,5.296775,
288,Sant Ké Bad',SKB,Saint-Quay-Portrieux,48.6521014,-2.8306322,
289,Saint Joseph Badminton Club,SJBC42,Saint-Joseph,13.19763575,-59.5454230195264,
290,Saint Jean Badminton Club,SJBC,Saint-Jean,45.278752,-66.058044,
291,Saint Jacques Badminton,SJB,Saint-Jacques-de-la-Lande,48.0715326,-1.7171453,
292,Sid Badminton,SIDB,La Chapelle-Vendômoise,47.6707962,1.2389998,
293,L'herblaisienne,SH,Herblay,48.9897164,2.1656595,
294,Saint Gely - Saint Clément Badminton,SGSCB,Saint-Gély-du-Fesc,43.6913873,3.803981,
295,Saint Georges Badminton,SGBAD28,Saint-Georges-sur-Eure,48.4182576,1.3552631,
296,Saint Genis Badminton,SGB01,Saint-Genis-Pouilly,46.2440083,6.0253162,
297,Saint Germain Badminton,SGB,Saint-Germain-du-Corbéis,48.4221718,0.0636128,
298,St Go Bad,SGB,Saint-Gaultier,46.634348,1.4192711,
299,Saint Germain 87 Badminton Club,SG87BC,Saint-Germain-les-Belles,45.6141406,1.495247,
300,Saint François Badminton Club,SFBC,Saint-François,16.2532002,-61.2750706,
301,Stade Francais,SF,Paris,48.8566101,2.3514992,
302,Set Badminton Marseille,SETBM,Marseille,43.2961743,5.3699525,
303,Sport Elec Dampierre - section Badminton,SEDB,Dampierre-en-Burly,47.760981,2.517088,
304,Sporting Club du Volant Biachet,SCVB,Désertines,46.713477,2.7005635,
305,Smash Club USMG,SCUSMG,Gagny,48.8853708,2.5361783,
306,Sporting Club De St Amand,SCSA,Saint-Amand-Montrond,46.7227062,2.5046503,
307,SC Sélestat,SCS,Sélestat,48.2594396,7.454217,
308,Sporting Club Le Rheu Badminton,SCRBAD,Le Rheu,48.1006715,-1.7937675,
309,Sporting Cheminot de Pratique Omnisports Badminton,SCPOBAD,Ivry-sur-Seine,48.8122302,2.3872525,
310,Saint Chamond Pays du Gier Badminton,SCPGBAD42,Saint-Chamond,45.4748298,4.5098046,
311,Sporting Club Mevennais,SCM,Saint-Méen-le-Grand,48.1894709,-2.1911338,
312,Sport. Club Gretz-tournan,SCGT,GRETZ-TOURNAN,48.7387313,2.7582183,
313,Chantecler,SCBNL,Bordeaux,44.841225,-0.5800364,
314,Sporting Club Briard,SCB,Brie-Comte-Robert,48.6904522,2.6166737,
315,Sporting Club De Beaucouze,SCB,Beaucouzé,47.4763,-0.636681,
316,Saint Cyprien Badminton,SCB,Saint-Cyprien,42.6176479,3.0043728,
317,Section Badminton Quincy-voisins,SBQV,Quincy-Voisins,48.8997,2.87886,
318,Cottages Illkirch Graffenstaden,SBLC,Illkirch-Graffenstaden,48.5298611,7.7116218,
319,Section Badminton Hilairoise,SBH,Saint-Hilaire-de-Villefranche,45.8505185,-0.530275,
320,Sect. Bad. Claye-souilly,SBCS,Claye-Souilly,48.9460871,2.6883703,
321,Section Badminton du CO Remilly,SBCOR,Rémilly,49.0116713,6.3960587,
322,Scherwiller Badminton Club 67,SBC67,Scherwiller,48.286161,7.4195389,
323,Sarreguemines Badminton Club,SBC57,Sarreguemines,49.1094836,7.0708865,
324,Sassenage Badminton Club,SBC38,Sassenage,45.2066078,5.6629992,
325,Sete Badminton Club,SBC,Sète,43.4014434,3.6959771,
326,Simiane Badminton Club,SBC,Simiane-Collongue,43.4283878,5.4372321,
327,Speed Bad Club,SBC,Méricourt,50.4,2.86895,
328,Sablons Badminton Club,SBC,Sablons,45.3178687,4.7703525,
329,Savonnières Badminton Club,SBC,Savonnières,47.3472325,0.552347,
330,Saint Barthélémy Badminton Club,SBBC,Saint-Barthélemy-d'Anjou,47.4683081,-0.4932941,
